Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity,Superficial Liquid  Velocity,Experimental Liquid Holdup
26.0406,996.653,1.90E-05,9.01E-04,7.21E-02,0.021,0.03,0.002,0.43,0.007650273224,0.0003712425488,0.1439759036
26.0406,996.653,1.90E-05,9.01E-04,7.21E-02,0.021,0.03,0.002,0.43,0.01010928962,0.0003712425488,0.1195783133
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.02364864865,0.00126963168,0.2021400778
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.02364864865,0.002031410688,0.2215953307
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.02364864865,0.003428005536,0.2215953307
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.02364864865,0.004570674047,0.2643968872
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.02364864865,0.005776824143,0.2789883268
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.02364864865,0.007935197999,0.3062256809
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.05912162162,0.001206150096,0.1787937743
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.05912162162,0.001967929104,0.2050583658
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.05912162162,0.003459746328,0.2342412451
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.05912162162,0.004697637215,0.2449416342
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.05912162162,0.005776824143,0.2527237354
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.05912162162,0.007966938791,0.2721789883
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1013513514,0.00126963168,0.1729571984
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1013513514,0.001999669896,0.1904669261
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1013513514,0.003586709496,0.2138132296
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1013513514,0.004665896423,0.2245136187
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1013513514,0.005776824143,0.2313229572
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1013513514,0.007998679583,0.2468871595
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1942567568,0.00126963168,0.1544747082
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1942567568,0.001967929104,0.1710116732
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1942567568,0.003428005536,0.193385214
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1942567568,0.004634155631,0.2001945525
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1942567568,0.005745083351,0.2060311284
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.1942567568,0.007935197999,0.2186770428
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.4222972973,0.00126963168,0.1359922179
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.4222972973,0.00206315148,0.1554474708
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.4222972973,0.003618450288,0.1680933852
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.4222972973,0.004824600383,0.1719844358
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.4222972973,0.005808564935,0.1729571984
1.184,997,1.87E-05,8.96E-04,7.21E-02,0.00508,0.267,0.000759,0.44,0.4222972973,0.007903457207,0.1807392996
