Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity ,Superficial Liquid Velocity ,Liquid Holdup 
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.01262247967,0.1932989691
1.184,1001.3,0.0000182,0.003,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.001017196164,0.07886597938
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.004573272135,0.1391752577
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.008130261573,0.1716494845
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.009885658958,0.1886597938
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.01164105634,0.1855670103
1.184,1002.2,0.0000182,0.006,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.0007853093565,0.08350515464
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.004295675502,0.1484536082
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.007852310057,0.1840206186
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.009607532305,0.1948453608
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.01136275455,0.1902061856
1.184,1002.3,0.0000182,0.009,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.0006004707691,0.08969072165
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.004064319707,0.162371134
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.007574413999,0.1932989691
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.009283275694,0.2010309278
